prompt_id,reranker_label,n,initial_mean,optimized_mean,mean_difference,median_difference,improved_pair_rate,wilcoxon_statistic,wilcoxon_p_value,mean_difference_ci95_low,mean_difference_ci95_high,ci_method,wilcoxon_p_holm_global,significant_holm_global_0_05,wilcoxon_p_holm_within_reranker,significant_holm_within_reranker_0_05
advertisement,Model E,30,-3.1333333333333333,0.5,3.633333333333333,2.5,0.7333333333333333,0.0,3.852797335849741e-05,2.433333333333333,4.866666666666666,"percentile bootstrap, 10000 resamples",0.0010787832540379275,True,0.0005393916270189637,True
authoritative,Model E,30,-1.1,0.5666666666666667,1.6666666666666667,1.0,0.5333333333333333,4.0,0.0005377293969081,0.9,2.533333333333333,"percentile bootstrap, 10000 resamples",0.012905505525794399,True,0.005915023365989099,True
clickable,Model E,30,-1.2333333333333334,0.3666666666666666,1.6,1.0,0.5666666666666667,35.0,0.0027212865956496,0.7,2.566666666666667,"percentile bootstrap, 10000 resamples",0.057147018508641595,False,0.027212865956495996,True
competitive,Model E,30,-1.2,-0.6666666666666666,0.5333333333333333,0.0,0.3333333333333333,51.5,0.1299040486227481,-0.03333333333333333,1.1666666666666667,"percentile bootstrap, 10000 resamples",1.0,False,0.6495202431137405,False
diverse,Model E,30,-0.6333333333333333,0.3333333333333333,0.9666666666666668,0.0,0.4,43.0,0.0599705865618146,0.16666666666666666,1.8666666666666667,"percentile bootstrap, 10000 resamples",0.899558798427219,False,0.4197941059327022,False
faq,Model E,30,0.2,-0.2666666666666666,-0.4666666666666667,0.0,0.1,26.0,0.0481310137810617,-0.8666666666666667,-0.06666666666666667,"percentile bootstrap, 10000 resamples",0.7700962204969872,False,0.3850481102484936,False
fluent,Model E,30,0.1,0.2666666666666666,0.1666666666666666,0.0,0.2,55.5,0.79455133399071,-0.4,0.8333333333333334,"percentile bootstrap, 10000 resamples",1.0,False,1.0,False
format,Model E,30,-0.9666666666666668,-1.9,-0.9333333333333332,0.0,0.1666666666666666,25.5,0.0870708722427491,-1.9,-0.1,"percentile bootstrap, 10000 resamples",1.0,False,0.5224252334564946,False
language,Model E,30,-2.2666666666666666,-0.0333333333333333,2.2333333333333334,1.0,0.6666666666666666,0.0,8.140252528590111e-05,1.3333333333333333,3.2333333333333334,"percentile bootstrap, 10000 resamples",0.00219786818271933,True,0.0010582328287167145,True
minimalist,Model E,30,-2.1666666666666665,0.3333333333333333,2.5,2.0,0.6666666666666666,10.0,0.0001473323596135,1.5666666666666667,3.433333333333333,"percentile bootstrap, 10000 resamples",0.0036833089903374997,True,0.0017679883153619998,True
quality,Model E,30,-0.5,-0.7,-0.2,0.0,0.2,52.0,0.2374743452757886,-1.0666666666666667,0.7333333333333333,"percentile bootstrap, 10000 resamples",1.0,False,0.9498973811031544,False
storytelling,Model E,30,-4.533333333333333,0.2,4.733333333333333,4.5,0.8666666666666667,0.0,7.750135363112594e-06,3.533333333333333,5.966666666666667,"percentile bootstrap, 10000 resamples",0.00023250406089337782,True,0.00011625203044668891,True
technical,Model E,30,-0.4333333333333333,-0.2,0.2333333333333333,0.0,0.2333333333333333,44.0,0.5894628697287838,-0.43333333333333335,0.9666666666666667,"percentile bootstrap, 10000 resamples",1.0,False,1.0,False
trick,Model E,30,-1.8666666666666667,-0.6666666666666666,1.2,1.0,0.6,46.0,0.0149517400496065,0.03333333333333333,2.2666666666666666,"percentile bootstrap, 10000 resamples",0.26913132089291697,False,0.13456566044645848,False
unique,Model E,30,0.0666666666666666,0.2666666666666666,0.2,0.0,0.3666666666666666,54.0,0.2805420102358741,-0.5333333333333333,0.8666666666666667,"percentile bootstrap, 10000 resamples",1.0,False,0.9498973811031544,False
advertisement,Model F,30,-2.566666666666667,-0.1666666666666666,2.4,1.0,0.6666666666666666,4.5,0.0001003880206493,1.4333333333333333,3.466666666666667,"percentile bootstrap, 10000 resamples",0.0026100885368818,True,0.0014054322890902,True
authoritative,Model F,30,-0.4666666666666667,0.2,0.6666666666666666,0.0,0.3333333333333333,36.0,0.1700669614539048,-0.10083333333333258,1.5333333333333334,"percentile bootstrap, 10000 resamples",1.0,False,1.0,False
clickable,Model F,30,-1.5333333333333334,0.4,1.9333333333333331,1.0,0.5666666666666667,30.5,0.0016488833282101,0.9333333333333333,3.0,"percentile bootstrap, 10000 resamples",0.0362754332206222,True,0.0197865999385212,True
competitive,Model F,30,-1.2333333333333334,-0.9,0.3333333333333333,0.0,0.3,38.5,0.3746038035561588,-0.36666666666666664,1.0341666666666547,"percentile bootstrap, 10000 resamples",1.0,False,1.0,False
diverse,Model F,30,-1.2666666666666666,0.3333333333333333,1.6,1.0,0.5333333333333333,17.0,0.0046879573019336,0.43333333333333335,2.6666666666666665,"percentile bootstrap, 10000 resamples",0.0890711887367384,False,0.046879573019336,True
faq,Model F,30,0.0333333333333333,0.0666666666666666,0.0333333333333333,0.0,0.2666666666666666,55.0,0.7735628639070411,-0.6,0.6333333333333333,"percentile bootstrap, 10000 resamples",1.0,False,1.0,False
fluent,Model F,30,0.3666666666666666,-0.5333333333333333,-0.9,0.0,0.1666666666666666,45.0,0.0413959099819379,-1.7666666666666666,-0.06666666666666667,"percentile bootstrap, 10000 resamples",0.7037304696929443,False,0.3725631898374411,False
format,Model F,30,-0.1,-0.6,-0.5,0.0,0.2,33.0,0.3804551252503885,-1.5333333333333334,0.43333333333333335,"percentile bootstrap, 10000 resamples",1.0,False,1.0,False
language,Model F,30,-2.533333333333333,-0.2333333333333333,2.3,1.0,0.6666666666666666,21.5,0.0006154279403424,1.2666666666666666,3.433333333333333,"percentile bootstrap, 10000 resamples",0.014154842627875199,True,0.0080005632244512,True
minimalist,Model F,30,-2.966666666666667,-0.6666666666666666,2.3,1.0,0.5666666666666667,21.0,0.0028088484376325,0.9333333333333333,3.6666666666666665,"percentile bootstrap, 10000 resamples",0.057147018508641595,False,0.0308973328139575,True
quality,Model F,30,-0.9333333333333332,-1.1333333333333333,-0.2,0.0,0.3666666666666666,90.5,0.8547622479244819,-1.2,0.7666666666666667,"percentile bootstrap, 10000 resamples",1.0,False,1.0,False
storytelling,Model F,30,-4.766666666666667,-0.4,4.366666666666666,5.0,0.8333333333333334,0.0,1.1636338012087822e-05,3.2333333333333334,5.5,"percentile bootstrap, 10000 resamples",0.0003374538023505468,True,0.00017454507018131734,True
technical,Model F,30,-0.4666666666666667,0.0666666666666666,0.5333333333333333,0.0,0.2666666666666666,41.5,0.2867777732710604,-0.16666666666666666,1.3333333333333333,"percentile bootstrap, 10000 resamples",1.0,False,1.0,False
trick,Model F,30,-1.6,-0.5,1.1,0.0,0.4333333333333333,57.5,0.1294404069371394,-0.03333333333333333,2.3333333333333335,"percentile bootstrap, 10000 resamples",1.0,False,1.0,False
unique,Model F,30,-0.4,-0.1666666666666666,0.2333333333333333,0.0,0.2666666666666666,42.5,0.5259490076011261,-0.6333333333333333,1.1,"percentile bootstrap, 10000 resamples",1.0,False,1.0,False
