version_number,trajectory_step,epoch,batch,prompt_count,embedding_model,mean_cosine_distance_to_centroid,mean_pairwise_cosine_distance
1,0,1,1,15,text-embedding-3-large,0.15099610008246903,0.29913469063373915
2,1,1,2,15,text-embedding-3-large,0.07188765036411487,0.14850799977145307
3,2,1,3,15,text-embedding-3-large,0.07245063243788806,0.14962732578763538
4,3,1,4,15,text-embedding-3-large,0.06867785417451545,0.1421132793160874
5,4,2,1,15,text-embedding-3-large,0.06867785417451545,0.1421132793160874
6,5,2,2,15,text-embedding-3-large,0.06992674321036765,0.14460400393363554
7,6,2,3,15,text-embedding-3-large,0.0747387861297389,0.15416966368642582
8,7,2,4,15,text-embedding-3-large,0.0768007318619079,0.15825333354566903
